 Total Nb of available Diagnostics: ndiagt=   375
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
     1 |SDIAG1  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #1
     2 |SDIAG2  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #2
     3 |SDIAG3  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #3
     4 |SDIAG4  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #4
     5 |SDIAG5  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #5
     6 |SDIAG6  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #6
     7 |SDIAG7  |  1 |       |SU      L1|user-defined    |User-Defined U.pt Surface Diagnostic #7
     8 |SDIAG8  |  1 |       |SV      L1|user-defined    |User-Defined V.pt Surface Diagnostic #8
     9 |SDIAG9  |  1 |    10 |UU      L1|user-defined    |User-Defined U.vector Surface Diag.  #9
    10 |SDIAG10 |  1 |     9 |VV      L1|user-defined    |User-Defined V.vector Surface Diag. #10
    11 |UDIAG1  | 23 |       |SM      MR|user-defined    |User-Defined Model-Level Diagnostic  #1
    12 |UDIAG2  | 23 |       |SM      MR|user-defined    |User-Defined Model-Level Diagnostic  #2
    13 |UDIAG3  | 23 |       |SMR     MR|user-defined    |User-Defined Model-Level Diagnostic  #3
    14 |UDIAG4  | 23 |       |SMR     MR|user-defined    |User-Defined Model-Level Diagnostic  #4
    15 |UDIAG5  | 23 |       |SU      MR|user-defined    |User-Defined U.pt Model-Level Diag.  #5
    16 |UDIAG6  | 23 |       |SV      MR|user-defined    |User-Defined V.pt Model-Level Diag.  #6
    17 |UDIAG7  | 23 |    18 |UUR     MR|user-defined    |User-Defined U.vector Model-Lev Diag.#7
    18 |UDIAG8  | 23 |    17 |VVR     MR|user-defined    |User-Defined V.vector Model-Lev Diag.#8
    19 |UDIAG9  | 23 |       |SM      ML|user-defined    |User-Defined Phys-Level  Diagnostic  #9
    20 |UDIAG10 | 23 |       |SM      ML|user-defined    |User-Defined Phys-Level  Diagnostic #10
    21 |SDIAGC  |  1 |    22 |SM  C   L1|user-defined    |User-Defined Counted Surface Diagnostic
    22 |SDIAGCC |  1 |       |SM      L1|count           |User-Defined Surface Diagnostic Counter
    23 |ETAN    |  1 |       |SM      M1|m               |Surface Height Anomaly
    24 |ETANSQ  |  1 |       |SM P    M1|m^2             |Square of Surface Height Anomaly
    25 |DETADT2 |  1 |       |SM      M1|m^2/s^2         |Square of Surface Height Anomaly Tendency
    26 |THETA   | 23 |       |SMR     MR|degC            |Potential Temperature
    27 |SALT    | 23 |       |SMR     MR|g/kg            |Salinity
    28 |RELHUM  | 23 |       |SMR     MR|percent         |Relative Humidity
    29 |SALTanom| 23 |       |SMR     MR|g/kg            |Salt anomaly (=SALT-35; g/kg)
    30 |UVEL    | 23 |    31 |UUR     MR|m/s             |Zonal Component of Velocity (m/s)
    31 |VVEL    | 23 |    30 |VVR     MR|m/s             |Meridional Component of Velocity (m/s)
    32 |WVEL    | 23 |       |WM      LR|m/s             |Vertical Component of Velocity (r_units/s)
    33 |THETASQ | 23 |       |SMRP    MR|degC^2          |Square of Potential Temperature
    34 |SALTSQ  | 23 |       |SMRP    MR|(g/kg)^2        |Square of Salinity
    35 |SALTSQan| 23 |       |SMRP    MR|(g/kg)^2        |Square of Salt anomaly (=(SALT-35)^2 (g^2/kg^2)
    36 |UVELSQ  | 23 |    37 |UURP    MR|m^2/s^2         |Square of Zonal Comp of Velocity (m^2/s^2)
    37 |VVELSQ  | 23 |    36 |VVRP    MR|m^2/s^2         |Square of Meridional Comp of Velocity (m^2/s^2)
    38 |WVELSQ  | 23 |       |WM P    LR|m^2/s^2         |Square of Vertical Comp of Velocity
    39 |UE_VEL_C| 23 |    40 |UMR     MR|m/s             |Eastward Velocity (m/s) (cell center)
    40 |VN_VEL_C| 23 |    39 |VMR     MR|m/s             |Northward Velocity (m/s) (cell center)
    41 |UV_VEL_C| 23 |    41 |UMR     MR|m^2/s^2         |Product of horizontal Comp of velocity (cell center)
    42 |UV_VEL_Z| 23 |    42 |UZR     MR|m^2/s^2         |Meridional Transport of Zonal Momentum (m^2/s^2)
    43 |WU_VEL  | 23 |       |WU      LR|m.m/s^2         |Vertical Transport of Zonal Momentum
    44 |WV_VEL  | 23 |       |WV      LR|m.m/s^2         |Vertical Transport of Meridional Momentum
    45 |UVELMASS| 23 |    46 |UUr     MR|m/s             |Zonal Mass-Weighted Comp of Velocity (m/s)
    46 |VVELMASS| 23 |    45 |VVr     MR|m/s             |Meridional Mass-Weighted Comp of Velocity (m/s)
    47 |WVELMASS| 23 |       |WM      LR|m/s             |Vertical Mass-Weighted Comp of Velocity
    48 |PhiVEL  | 23 |    45 |SMR P   MR|m^2/s           |Horizontal Velocity Potential (m^2/s)
    49 |PsiVEL  | 23 |    48 |SZ  P   MR|m.m^2/s         |Horizontal Velocity Stream-Function
    50 |UTHMASS | 23 |    51 |UUr     MR|degC.m/s        |Zonal Mass-Weight Transp of Pot Temp
    51 |VTHMASS | 23 |    50 |VVr     MR|degC.m/s        |Meridional Mass-Weight Transp of Pot Temp
    52 |WTHMASS | 23 |       |WM      LR|degC.m/s        |Vertical Mass-Weight Transp of Pot Temp (K.m/s)
    53 |USLTMASS| 23 |    54 |UUr     MR|g/kg.m/s        |Zonal Mass-Weight Transp of Salinity
    54 |VSLTMASS| 23 |    53 |VVr     MR|g/kg.m/s        |Meridional Mass-Weight Transp of Salinity
    55 |WSLTMASS| 23 |       |WM      LR|g/kg.m/s        |Vertical Mass-Weight Transp of Salinity
    56 |UVELTH  | 23 |    57 |UUR     MR|degC.m/s        |Zonal Transport of Pot Temp
    57 |VVELTH  | 23 |    56 |VVR     MR|degC.m/s        |Meridional Transport of Pot Temp
    58 |WVELTH  | 23 |       |WM      LR|degC.m/s        |Vertical Transport of Pot Temp
    59 |UVELSLT | 23 |    60 |UUR     MR|g/kg.m/s        |Zonal Transport of Salinity
    60 |VVELSLT | 23 |    59 |VVR     MR|g/kg.m/s        |Meridional Transport of Salinity
    61 |WVELSLT | 23 |       |WM      LR|g/kg.m/s        |Vertical Transport of Salinity
    62 |UVELPHI | 23 |    63 |UUr     MR|m^3/s^3         |Zonal Mass-Weight Transp of Pressure Pot.(p/rho) Anomaly
    63 |VVELPHI | 23 |    62 |VVr     MR|m^3/s^3         |Merid. Mass-Weight Transp of Pressure Pot.(p/rho) Anomaly
    64 |RHOAnoma| 23 |       |SMR     MR|kg/m^3          |Density Anomaly (=Rho-rhoConst)
    65 |RHOANOSQ| 23 |       |SMRP    MR|kg^2/m^6        |Square of Density Anomaly (=(Rho-rhoConst)^2)
    66 |URHOMASS| 23 |    67 |UUr     MR|kg/m^2/s        |Zonal Transport of Density
    67 |VRHOMASS| 23 |    66 |VVr     MR|kg/m^2/s        |Meridional Transport of Density
    68 |WRHOMASS| 23 |       |WM      LR|kg/m^2/s        |Vertical Transport of Density
    69 |WdRHO_P | 23 |       |WM      LR|kg/m^2/s        |Vertical velocity times delta^k(Rho)_at-const-P
    70 |WdRHOdP | 23 |       |WM      LR|kg/m^2/s        |Vertical velocity times delta^k(Rho)_at-const-T,S
    71 |PHIHYD  | 23 |       |SMR     MR|m^2/s^2         |Hydrostatic Pressure Pot.(p/rho) Anomaly
    72 |PHIHYDSQ| 23 |       |SMRP    MR|m^4/s^4         |Square of Hyd. Pressure Pot.(p/rho) Anomaly
    73 |PHIBOT  |  1 |       |SM      M1|m^2/s^2         |Bottom Pressure Pot.(p/rho) Anomaly
    74 |PHIBOTSQ|  1 |       |SM P    M1|m^4/s^4         |Square of Bottom Pressure Pot.(p/rho) Anomaly
    75 |PHI_SURF|  1 |       |SM      M1|m^2/s^2         |Surface Dynamical Pressure Pot.(p/rho)
    76 |MXLDEPTH|  1 |       |SM      M1|m               |Mixed-Layer Depth (>0)
    77 |DRHODR  | 23 |       |SM      LR|kg/m^4          |Stratification: d.Sigma/dr (kg/m3/r_unit)
    78 |CONVADJ | 23 |       |SMR     LR|fraction        |Convective Adjustment Index [0-1]
    79 |oceTAUX |  1 |    80 |UU      U1|N/m^2           |zonal surface wind stress, >0 increases uVel
    80 |oceTAUY |  1 |    79 |VV      U1|N/m^2           |meridional surf. wind stress, >0 increases vVel
    81 |atmPload|  1 |       |SM      U1|Pa              |Atmospheric pressure loading anomaly (vs surf_pRef)
    82 |sIceLoad|  1 |       |SM      U1|kg/m^2          |sea-ice loading (in Mass of ice+snow / area unit)
    83 |oceFWflx|  1 |       |SM      U1|kg/m^2/s        |net surface Fresh-Water flux into the ocean (+=down), >0 decreases salinity
    84 |oceSflux|  1 |       |SM      U1|g/m^2/s         |net surface Salt flux into the ocean (+=down), >0 increases salinity
    85 |oceQnet |  1 |       |SM      U1|W/m^2           |net surface heat flux into the ocean (+=down), >0 increases theta
    86 |oceQsw  |  1 |       |SM      U1|W/m^2           |net Short-Wave radiation (+=down), >0 increases theta
    87 |oceFreez|  1 |       |SM      U1|W/m^2           |heating from freezing of sea-water (allowFreezing=T)
    88 |TRELAX  |  1 |       |SM      U1|W/m^2           |surface temperature relaxation, >0 increases theta
    89 |SRELAX  |  1 |       |SM      U1|g/m^2/s         |surface salinity relaxation, >0 increases salt
    90 |surForcT|  1 |       |SM      U1|W/m^2           |model surface forcing for Temperature, >0 increases theta
    91 |surForcS|  1 |       |SM      U1|g/m^2/s         |model surface forcing for Salinity, >0 increases salinity
    92 |TFLUX   |  1 |       |SM      U1|W/m^2           |total heat flux (match heat-content variations), >0 increases theta
    93 |SFLUX   |  1 |       |SM      U1|g/m^2/s         |total salt flux (match salt-content variations), >0 increases salt
    94 |RCENTER | 23 |       |SM      MR|m               |Cell-Center Height
    95 |RSURF   |  1 |       |SM      M1|m               |Surface Height
    96 |TOTUTEND| 23 |    97 |UUR     MR|m/s/day         |Tendency of Zonal Component of Velocity
    97 |TOTVTEND| 23 |    96 |VVR     MR|m/s/day         |Tendency of Meridional Component of Velocity
